id,COD,Nombre,Fecha,FK_Periodo,Anyo,Valor,Variacion_Interanual_IPV
1,IPV769,Total Nacional. General. Índice. ,1191189600000,22,2007,150.64,
1,IPV769,Total Nacional. General. Índice. ,1183240800000,21,2007,151.72,0.7169410515135506
1,IPV769,Total Nacional. General. Índice. ,1175378400000,20,2007,150.1,-1.0677563933561853
1,IPV769,Total Nacional. General. Índice. ,1167606000000,19,2007,145.94,-2.771485676215854
2,IPV949,Total Nacional. General. Variación trimestral. ,1191189600000,22,2007,-0.7,-100.47964917089215
2,IPV949,Total Nacional. General. Variación trimestral. ,1183240800000,21,2007,1.1,-257.14285714285717
2,IPV949,Total Nacional. General. Variación trimestral. ,1175378400000,20,2007,2.9,163.6363636363636
2,IPV949,Total Nacional. General. Variación trimestral. ,1167606000000,19,2007,2.4,-17.24137931034483
3,IPV948,Total Nacional. General. Variación anual. ,1191189600000,22,2007,5.7,137.50000000000003
3,IPV948,Total Nacional. General. Variación anual. ,1183240800000,21,2007,9.2,61.40350877192981
3,IPV948,Total Nacional. General. Variación anual. ,1175378400000,20,2007,11.6,26.086956521739136
3,IPV948,Total Nacional. General. Variación anual. ,1167606000000,19,2007,13.1,12.931034482758621
4,IPV947,Total Nacional. General. Variación en lo que va de año. ,1191189600000,22,2007,5.7,-56.488549618320604
4,IPV947,Total Nacional. General. Variación en lo que va de año. ,1183240800000,21,2007,6.5,14.035087719298241
4,IPV947,Total Nacional. General. Variación en lo que va de año. ,1175378400000,20,2007,5.3,-18.461538461538467
4,IPV947,Total Nacional. General. Variación en lo que va de año. ,1167606000000,19,2007,2.4,-54.71698113207547
5,IPV768,Total Nacional. Vivienda nueva. Índice. ,1191189600000,22,2007,134.45,5502.083333333333
5,IPV768,Total Nacional. Vivienda nueva. Índice. ,1183240800000,21,2007,132.48,-1.4652287095574554
5,IPV768,Total Nacional. Vivienda nueva. Índice. ,1175378400000,20,2007,129.75,-2.060688405797094
5,IPV768,Total Nacional. Vivienda nueva. Índice. ,1167606000000,19,2007,125.96,-2.9210019267822784
6,IPV946,Total Nacional. Vivienda nueva. Variación trimestral. ,1191189600000,22,2007,1.5,-98.8091457605589
6,IPV946,Total Nacional. Vivienda nueva. Variación trimestral. ,1183240800000,21,2007,2.1,40.00000000000001
6,IPV946,Total Nacional. Vivienda nueva. Variación trimestral. ,1175378400000,20,2007,3.0,42.85714285714285
6,IPV946,Total Nacional. Vivienda nueva. Variación trimestral. ,1167606000000,19,2007,2.9,-3.333333333333336
7,IPV945,Total Nacional. Vivienda nueva. Variación anual. ,1191189600000,22,2007,9.8,237.93103448275863
7,IPV945,Total Nacional. Vivienda nueva. Variación anual. ,1183240800000,21,2007,11.4,16.326530612244895
7,IPV945,Total Nacional. Vivienda nueva. Variación anual. ,1175378400000,20,2007,13.3,16.666666666666668
7,IPV945,Total Nacional. Vivienda nueva. Variación anual. ,1167606000000,19,2007,13.3,0.0
8,IPV944,Total Nacional. Vivienda nueva. Variación en lo que va de año. ,1191189600000,22,2007,9.8,-26.31578947368421
8,IPV944,Total Nacional. Vivienda nueva. Variación en lo que va de año. ,1183240800000,21,2007,8.2,-16.32653061224491
8,IPV944,Total Nacional. Vivienda nueva. Variación en lo que va de año. ,1175378400000,20,2007,6.0,-26.829268292682922
8,IPV944,Total Nacional. Vivienda nueva. Variación en lo que va de año. ,1167606000000,19,2007,2.9,-51.66666666666667
9,IPV767,Total Nacional. Vivienda segunda mano. Índice. ,1191189600000,22,2007,164.97,5588.620689655173
9,IPV767,Total Nacional. Vivienda segunda mano. Índice. ,1183240800000,21,2007,169.26,2.6004728132387656
9,IPV767,Total Nacional. Vivienda segunda mano. Índice. ,1175378400000,20,2007,168.85,-0.24223088739217571
9,IPV767,Total Nacional. Vivienda segunda mano. Índice. ,1167606000000,19,2007,164.36,-2.6591649392952212
10,IPV943,Total Nacional. Vivienda segunda mano. Variación trimestral. ,1191189600000,22,2007,-2.5,-101.5210513506936
10,IPV943,Total Nacional. Vivienda segunda mano. Variación trimestral. ,1183240800000,21,2007,0.2,-108.0
10,IPV943,Total Nacional. Vivienda segunda mano. Variación trimestral. ,1175378400000,20,2007,2.7,1250.0
10,IPV943,Total Nacional. Vivienda segunda mano. Variación trimestral. ,1167606000000,19,2007,2.0,-25.92592592592593
11,IPV942,Total Nacional. Vivienda segunda mano. Variación anual. ,1191189600000,22,2007,2.4,19.999999999999996
11,IPV942,Total Nacional. Vivienda segunda mano. Variación anual. ,1183240800000,21,2007,7.5,212.5
11,IPV942,Total Nacional. Vivienda segunda mano. Variación anual. ,1175378400000,20,2007,10.3,37.33333333333334
11,IPV942,Total Nacional. Vivienda segunda mano. Variación anual. ,1167606000000,19,2007,13.0,26.213592233009702
12,IPV941,Total Nacional. Vivienda segunda mano. Variación en lo que va de año. ,1191189600000,22,2007,2.4,-81.53846153846153
12,IPV941,Total Nacional. Vivienda segunda mano. Variación en lo que va de año. ,1183240800000,21,2007,5.1,112.5
12,IPV941,Total Nacional. Vivienda segunda mano. Variación en lo que va de año. ,1175378400000,20,2007,4.8,-5.8823529411764675
12,IPV941,Total Nacional. Vivienda segunda mano. Variación en lo que va de año. ,1167606000000,19,2007,2.0,-58.333333333333336
13,IPV766,Andalucía. General. Índice. ,1191189600000,22,2007,135.79,6689.5
13,IPV766,Andalucía. General. Índice. ,1183240800000,21,2007,133.94,-1.3623978201634837
13,IPV766,Andalucía. General. Índice. ,1175378400000,20,2007,130.9,-2.269672987905026
13,IPV766,Andalucía. General. Índice. ,1167606000000,19,2007,127.08,-2.918258212375865
14,IPV940,Andalucía. General. Variación trimestral. ,1191189600000,22,2007,1.4,-98.89833175952155
14,IPV940,Andalucía. General. Variación trimestral. ,1183240800000,21,2007,2.3,64.28571428571428
14,IPV940,Andalucía. General. Variación trimestral. ,1175378400000,20,2007,3.0,30.43478260869566
14,IPV940,Andalucía. General. Variación trimestral. ,1167606000000,19,2007,4.0,33.33333333333333
15,IPV939,Andalucía. General. Variación anual. ,1191189600000,22,2007,11.1,177.5
15,IPV939,Andalucía. General. Variación anual. ,1183240800000,21,2007,11.6,4.504504504504505
15,IPV939,Andalucía. General. Variación anual. ,1175378400000,20,2007,12.8,10.344827586206906
15,IPV939,Andalucía. General. Variación anual. ,1167606000000,19,2007,15.5,21.093749999999993
16,IPV938,Andalucía. General. Variación en lo que va de año. ,1191189600000,22,2007,11.1,-28.387096774193548
16,IPV938,Andalucía. General. Variación en lo que va de año. ,1183240800000,21,2007,9.6,-13.513513513513514
16,IPV938,Andalucía. General. Variación en lo que va de año. ,1175378400000,20,2007,7.1,-26.041666666666668
16,IPV938,Andalucía. General. Variación en lo que va de año. ,1167606000000,19,2007,4.0,-43.66197183098591
17,IPV765,Andalucía. Vivienda nueva. Índice. ,1191189600000,22,2007,119.09,2877.25
17,IPV765,Andalucía. Vivienda nueva. Índice. ,1183240800000,21,2007,115.07,-3.375598287009833
17,IPV765,Andalucía. Vivienda nueva. Índice. ,1175378400000,20,2007,111.4,-3.189362996436941
17,IPV765,Andalucía. Vivienda nueva. Índice. ,1167606000000,19,2007,108.32,-2.7648114901256844
18,IPV937,Andalucía. Vivienda nueva. Variación trimestral. ,1191189600000,22,2007,3.5,-96.76883308714919
18,IPV937,Andalucía. Vivienda nueva. Variación trimestral. ,1183240800000,21,2007,3.3,-5.71428571428572
18,IPV937,Andalucía. Vivienda nueva. Variación trimestral. ,1175378400000,20,2007,2.8,-15.151515151515152
18,IPV937,Andalucía. Vivienda nueva. Variación trimestral. ,1167606000000,19,2007,4.3,53.57142857142857
19,IPV936,Andalucía. Vivienda nueva. Variación anual. ,1191189600000,22,2007,14.7,241.86046511627904
19,IPV936,Andalucía. Vivienda nueva. Variación anual. ,1183240800000,21,2007,13.6,-7.48299319727891
19,IPV936,Andalucía. Vivienda nueva. Variación anual. ,1175378400000,20,2007,14.4,5.882352941176476
19,IPV936,Andalucía. Vivienda nueva. Variación anual. ,1167606000000,19,2007,15.4,6.944444444444445
20,IPV935,Andalucía. Vivienda nueva. Variación en lo que va de año. ,1191189600000,22,2007,14.7,-4.545454545454552
20,IPV935,Andalucía. Vivienda nueva. Variación en lo que va de año. ,1183240800000,21,2007,10.8,-26.53061224489795
20,IPV935,Andalucía. Vivienda nueva. Variación en lo que va de año. ,1175378400000,20,2007,7.3,-32.40740740740741
20,IPV935,Andalucía. Vivienda nueva. Variación en lo que va de año. ,1167606000000,19,2007,4.3,-41.09589041095891
21,IPV764,Andalucía. Vivienda segunda mano. Índice. ,1191189600000,22,2007,150.19,3392.7906976744184
21,IPV764,Andalucía. Vivienda segunda mano. Índice. ,1183240800000,21,2007,151.05,0.5726080298288926
21,IPV764,Andalucía. Vivienda segunda mano. Índice. ,1175378400000,20,2007,148.89,-1.4299900695134224
21,IPV764,Andalucía. Vivienda segunda mano. Índice. ,1167606000000,19,2007,144.34,-3.0559473436765283
22,IPV934,Andalucía. Vivienda segunda mano. Variación trimestral. ,1191189600000,22,2007,-0.6,-100.41568518775115
22,IPV934,Andalucía. Vivienda segunda mano. Variación trimestral. ,1183240800000,21,2007,1.5,-350.00000000000006
22,IPV934,Andalucía. Vivienda segunda mano. Variación trimestral. ,1175378400000,20,2007,3.1,106.66666666666667
22,IPV934,Andalucía. Vivienda segunda mano. Variación trimestral. ,1167606000000,19,2007,3.7,19.35483870967742
23,IPV933,Andalucía. Vivienda segunda mano. Variación anual. ,1191189600000,22,2007,7.9,113.51351351351352
23,IPV933,Andalucía. Vivienda segunda mano. Variación anual. ,1183240800000,21,2007,9.8,24.05063291139241
23,IPV933,Andalucía. Vivienda segunda mano. Variación anual. ,1175378400000,20,2007,11.6,18.367346938775498
23,IPV933,Andalucía. Vivienda segunda mano. Variación anual. ,1167606000000,19,2007,15.4,32.758620689655174
24,IPV932,Andalucía. Vivienda segunda mano. Variación en lo que va de año. ,1191189600000,22,2007,7.9,-48.701298701298704
24,IPV932,Andalucía. Vivienda segunda mano. Variación en lo que va de año. ,1183240800000,21,2007,8.5,7.594936708860754
24,IPV932,Andalucía. Vivienda segunda mano. Variación en lo que va de año. ,1175378400000,20,2007,6.9,-18.823529411764703
24,IPV932,Andalucía. Vivienda segunda mano. Variación en lo que va de año. ,1167606000000,19,2007,3.7,-46.3768115942029
25,IPV763,Aragón. General. Índice. ,1191189600000,22,2007,176.46,4669.189189189189
25,IPV763,Aragón. General. Índice. ,1183240800000,21,2007,178.36,1.0767312705429024
25,IPV763,Aragón. General. Índice. ,1175378400000,20,2007,176.58,-0.9979816102265088
25,IPV763,Aragón. General. Índice. ,1167606000000,19,2007,175.58,-0.5663155510250312
26,IPV931,Aragón. General. Variación trimestral. ,1191189600000,22,2007,-1.1,-100.62649504499373
26,IPV931,Aragón. General. Variación trimestral. ,1183240800000,21,2007,1.0,-190.9090909090909
26,IPV931,Aragón. General. Variación trimestral. ,1175378400000,20,2007,0.6,-40.0
26,IPV931,Aragón. General. Variación trimestral. ,1167606000000,19,2007,0.4,-33.33333333333333
27,IPV930,Aragón. General. Variación anual. ,1191189600000,22,2007,0.9,125.0
27,IPV930,Aragón. General. Variación anual. ,1183240800000,21,2007,5.7,533.3333333333333
27,IPV930,Aragón. General. Variación anual. ,1175378400000,20,2007,6.7,17.543859649122805
27,IPV930,Aragón. General. Variación anual. ,1167606000000,19,2007,10.4,55.223880597014926
28,IPV929,Aragón. General. Variación en lo que va de año. ,1191189600000,22,2007,0.9,-91.34615384615384
28,IPV929,Aragón. General. Variación en lo que va de año. ,1183240800000,21,2007,2.0,122.22222222222223
28,IPV929,Aragón. General. Variación en lo que va de año. ,1175378400000,20,2007,1.0,-50.0
28,IPV929,Aragón. General. Variación en lo que va de año. ,1167606000000,19,2007,0.4,-60.0
29,IPV762,Aragón. Vivienda nueva. Índice. ,1191189600000,22,2007,159.19,39697.5
29,IPV762,Aragón. Vivienda nueva. Índice. ,1183240800000,21,2007,156.73,-1.5453231986933902
29,IPV762,Aragón. Vivienda nueva. Índice. ,1175378400000,20,2007,155.77,-0.6125183436482994
29,IPV762,Aragón. Vivienda nueva. Índice. ,1167606000000,19,2007,152.92,-1.8296205944662147
30,IPV928,Aragón. Vivienda nueva. Variación trimestral. ,1191189600000,22,2007,1.6,-98.95370128171594
30,IPV928,Aragón. Vivienda nueva. Variación trimestral. ,1183240800000,21,2007,0.6,-62.5
30,IPV928,Aragón. Vivienda nueva. Variación trimestral. ,1175378400000,20,2007,1.9,216.66666666666666
30,IPV928,Aragón. Vivienda nueva. Variación trimestral. ,1167606000000,19,2007,1.4,-26.31578947368421
31,IPV927,Aragón. Vivienda nueva. Variación anual. ,1191189600000,22,2007,5.5,292.85714285714283
31,IPV927,Aragón. Vivienda nueva. Variación anual. ,1183240800000,21,2007,8.0,45.45454545454545
31,IPV927,Aragón. Vivienda nueva. Variación anual. ,1175378400000,20,2007,10.3,28.750000000000007
31,IPV927,Aragón. Vivienda nueva. Variación anual. ,1167606000000,19,2007,10.9,5.825242718446598
32,IPV926,Aragón. Vivienda nueva. Variación en lo que va de año. ,1191189600000,22,2007,5.5,-49.54128440366973
32,IPV926,Aragón. Vivienda nueva. Variación en lo que va de año. ,1183240800000,21,2007,3.9,-29.090909090909093
32,IPV926,Aragón. Vivienda nueva. Variación en lo que va de año. ,1175378400000,20,2007,3.3,-15.384615384615389
32,IPV926,Aragón. Vivienda nueva. Variación en lo que va de año. ,1167606000000,19,2007,1.4,-57.57575757575758
33,IPV761,Aragón. Vivienda segunda mano. Índice. ,1191189600000,22,2007,193.88,13748.57142857143
33,IPV761,Aragón. Vivienda segunda mano. Índice. ,1183240800000,21,2007,200.98,3.662059005570453
33,IPV761,Aragón. Vivienda segunda mano. Índice. ,1175378400000,20,2007,198.24,-1.3633197333067872
33,IPV761,Aragón. Vivienda segunda mano. Índice. ,1167606000000,19,2007,199.49,0.630548829701372
34,IPV925,Aragón. Vivienda segunda mano. Variación trimestral. ,1191189600000,22,2007,-3.5,-101.7544739084666
34,IPV925,Aragón. Vivienda segunda mano. Variación trimestral. ,1183240800000,21,2007,1.4,-140.0
34,IPV925,Aragón. Vivienda segunda mano. Variación trimestral. ,1175378400000,20,2007,-0.6,-142.85714285714286
34,IPV925,Aragón. Vivienda segunda mano. Variación trimestral. ,1167606000000,19,2007,-0.5,-16.666666666666664
35,IPV924,Aragón. Vivienda segunda mano. Variación anual. ,1191189600000,22,2007,-3.3,560.0
35,IPV924,Aragón. Vivienda segunda mano. Variación anual. ,1183240800000,21,2007,3.7,-212.12121212121212
35,IPV924,Aragón. Vivienda segunda mano. Variación anual. ,1175378400000,20,2007,3.7,0.0
35,IPV924,Aragón. Vivienda segunda mano. Variación anual. ,1167606000000,19,2007,9.9,167.56756756756758
36,IPV923,Aragón. Vivienda segunda mano. Variación en lo que va de año. ,1191189600000,22,2007,-3.3,-133.33333333333331
36,IPV923,Aragón. Vivienda segunda mano. Variación en lo que va de año. ,1183240800000,21,2007,0.3,-109.09090909090908
36,IPV923,Aragón. Vivienda segunda mano. Variación en lo que va de año. ,1175378400000,20,2007,-1.1,-466.6666666666667
36,IPV923,Aragón. Vivienda segunda mano. Variación en lo que va de año. ,1167606000000,19,2007,-0.5,-54.545454545454554
37,IPV760,"Asturias, Principado de. General. Índice. ",1191189600000,22,2007,146.79,-29458.0
37,IPV760,"Asturias, Principado de. General. Índice. ",1183240800000,21,2007,146.73,-0.04087471898630852
37,IPV760,"Asturias, Principado de. General. Índice. ",1175378400000,20,2007,143.56,-2.160430723096836
37,IPV760,"Asturias, Principado de. General. Índice. ",1167606000000,19,2007,138.73,-3.3644469211479606
38,IPV922,"Asturias, Principado de. General. Variación trimestral. ",1191189600000,22,2007,0.0,-100.0
38,IPV922,"Asturias, Principado de. General. Variación trimestral. ",1183240800000,21,2007,2.2,inf
38,IPV922,"Asturias, Principado de. General. Variación trimestral. ",1175378400000,20,2007,3.5,59.09090909090908
38,IPV922,"Asturias, Principado de. General. Variación trimestral. ",1167606000000,19,2007,2.6,-25.71428571428571
39,IPV921,"Asturias, Principado de. General. Variación anual. ",1191189600000,22,2007,8.5,226.9230769230769
39,IPV921,"Asturias, Principado de. General. Variación anual. ",1183240800000,21,2007,10.8,27.058823529411775
39,IPV921,"Asturias, Principado de. General. Variación anual. ",1175378400000,20,2007,13.5,24.999999999999993
39,IPV921,"Asturias, Principado de. General. Variación anual. ",1167606000000,19,2007,15.8,17.03703703703704
40,IPV920,"Asturias, Principado de. General. Variación en lo que va de año. ",1191189600000,22,2007,8.5,-46.20253164556962
40,IPV920,"Asturias, Principado de. General. Variación en lo que va de año. ",1183240800000,21,2007,8.5,0.0
40,IPV920,"Asturias, Principado de. General. Variación en lo que va de año. ",1175378400000,20,2007,6.1,-28.235294117647065
